category,name,vars,description
Income & Benefits (Family Households),"$15,000 to $24,999",DP03_0078E,"Number of family households with an income between $15,000 and $24,999"
Income & Benefits (Family Households),"$25,000 to $34,999",DP03_0079E,"Number of family households with an income between $25,000 and $34,999"
Income & Benefits (Family Households),"$35,000 to $49,999",DP03_0080E,"Number of family households with an income between $35,000 and $49,999"
Income & Benefits (Family Households),"$50,000 to $74,999",DP03_0081E,"Number of family households with an income between $50,000 and $74,999"
Income & Benefits (Family Households),"$75,000 to $99,999",DP03_0082E,"Number of family households with an income between $75,000 and $99,999"
Income & Benefits (Family Households),"$100,000 to $149,999",DP03_0083E,"Number of family households with an income between $100,000 and $149,999"
Income & Benefits (Family Households),"$150,000 to $199,999",DP03_0084E,"Number of family households with an income between $150,000 and $199,999"
Income & Benefits (Family Households),"$200,000 or more",DP03_0085E,"Number of family households with an income above $200,000"
Income & Benefits (Family Households),Median family income,DP03_0086E,Median family income
Income & Benefits (Family Households),Mean family income,DP03_0087E,Mean family income
Health Insurance Coverage,Civilian noninstitutionalized population,DP03_0095E,Civilian noninstitutionalized population
Health Insurance Coverage,Civilian noninstitutionalized population with private health insurance coverage,DP03_0097E,Civilian noninstitutionalized population with private health insurance coverage
Health Insurance Coverage,Civilian noninstitutionalized population with public health insurance coverage,DP03_0098E,Civilian noninstitutionalized population with public health insurance coverage
Health Insurance Coverage,Civilian noninstitutionalized population without health insurance coverage,DP03_0099E,Civilian noninstitutionalized population without health insurance coverage
Health Insurance Coverage,Civilian noninstitutionalized population (under 19),DP03_0100E,Civilian noninstitutionalized population under 19 years
Health Insurance Coverage,Civilian noninstitutionalized population (under 19) without health insurance coverage,DP03_0101E,Civilian noninstitutionalized population under 19 years without health insurance coverage
Population by poverty level,Below 50% of the poverty level,S1701_C01_038E,Population within 50% of poverty level
Population by poverty level,Below 125% of the poverty level,S1701_C01_039E,Population within 125% of poverty level
Population by poverty level,Below 150% of the poverty level,S1701_C01_040E,Population within 150% of poverty level
Population by poverty level,Below 185% of the poverty level,S1701_C01_041E,Population within 185% of poverty level
Population by poverty level,Below 200% of the poverty level,S1701_C01_042E,Population within 200% of poverty level
Population by poverty level,Below 300% of the poverty level,S1701_C01_043E,Population within 300% of poverty level
Population by poverty level,Below 400% of the poverty level,S1701_C01_044E,Population within 400% of poverty level
Population by poverty level,Below 500% of the poverty level,S1701_C01_045E,Population within 500% of poverty level
Population in Poverty by Race,White,S1701_C01_013E,White population in poverty
Population in Poverty by Race,Black or African American,S1701_C01_014E,Black/African American population in poverty
Population in Poverty by Race,American Indian and Alaska Native,S1701_C01_015E,American Indian/Alaskan Native population in poverty
Population in Poverty by Race,Asian,S1701_C01_016E,Asian population in poverty
Population in Poverty by Race,Native Hawaiian and Other Pacific Islander,S1701_C01_017E,Native Hawaiian/Other Pacific Population in poverty
Population in Poverty by Race,Some other race,S1701_C01_018E,Other racial group population in poverty
Population in Poverty by Race,Two or more races,S1701_C01_019E,Biracial population in poverty
Population in Poverty by Race,Hispanic or Latino origin (of any race),S1701_C01_020E,Hispanic/Latino population in poverty
Population in Poverty by Race,"White, not Hispanic or Latino",S1701_C01_021E,Non-hispanic/Latino population in poverty
Population in Poverty by Age,Under 5,S1701_C02_003E,Population under 5 in poverty
Population in Poverty by Age,5-17 years ,S1701_C02_004E,Population between 5 and 7 years old in poverty
Population in Poverty by Age,18-34 years,S1701_C02_007E,Population between 18 and 34 years old in poverty
Population in Poverty by Age,35-64 years,S1701_C02_008E,Population between 35 and 64 years old in poverty
Population in Poverty by Age,65 years and older,S1701_C02_010E,Population over the age of 65 in poverty
Population in Poverty by Sex,Male,S1701_C02_011E,Male population in poverty
Population in Poverty by Age,Female,S1701_C02_012E,Female population in poverty
Population by Commute Length,Less than 10 minutes,B08135_002E,Number of people who have a commute that lasts less than 10 minutes
Population by Commute Length,60+ minutes,B08135_010E,Number of people who have a commute that lasts over 1 hour
Population Living With Disabilities,Children under 5 with Disabilities (total),S1810_C02_013E,Number of children under 5 with disabilities
Population Living With Disabilities,Children under 5 with hearing difficulty,S1810_C02_021E,Number of children under 5 with hearing difficulty
Population Living With Disabilities,Children under 5 with vision difficulty,S1810_C02_031E,Number of children under 5 with vision difficulty
Population Living With Disabilities,Children under 18 with cognitive difficulty,S1810_C01_040E,Number of children under 18 with cognitive difficulty
Population Living With Disabilities,Children under 18 with ambulatory difficulty,S1810_C01_048E,Number of children under 18 with ambulatory difficulty
Population Living With Disabilities,Children under 18 with self-care difficulty,S1810_C01_056E,Number of children under 5 with self-care difficulty
